obsid,lat_IND,lon_IND,roi_name,minimal_distance,lat_WORD,lon_WORD,time,MY
ESP_029340_0945,-85.4151,104.029,Macclesfield,1.9467828463520873,-85.40100000000001,103.90100000000001,2012-10-29 16:02:47,31
ESP_028997_0945,-85.4095,103.962,Macclesfield,1.0950457977470085,-85.40100000000001,103.90100000000001,2012-10-02 22:35:46,31
ESP_028852_0945,-85.405,103.929,Macclesfield,0.512256966164676,-85.40100000000001,103.90100000000001,2012-09-21 15:25:26,31
ESP_011697_0980,-81.8089,76.1636,Starburst,0.9588749491470828,-81.801,76.14,2009-01-23 22:10:45,29
ESP_011341_0980,-81.7969,76.1304,Starburst,0.4827211412159147,-81.801,76.14,2008-12-27 04:25:02,29
ESP_020677_0980,-81.812,76.19,Starburst,1.4636635577434676,-81.801,76.14,2010-12-24 15:37:28,30
ESP_011842_0980,-81.8017,76.145,Starburst,0.11158993997462288,-81.801,76.14,2009-02-04 05:20:27,29
ESP_012620_0975,-82.5135,80.0473,unknown,99.3391285068537,-81.801,76.14,2009-04-05 20:16:40,29
ESP_011486_0980,-81.8115,76.1648,Starburst,1.2372136490285823,-81.801,76.14,2009-01-07 11:35:10,29
ESP_012607_0980,-81.8116,76.1776,Starburst,1.3264156890017964,-81.801,76.14,2009-04-04 19:58:07,29
ESP_012277_0975,-82.5184,80.0468,unknown,99.7618972893222,-81.801,76.14,2009-03-10 02:49:24,29
ESP_020756_0980,-81.8075,76.1684,Starburst,0.8551804175269002,-81.801,76.14,2010-12-30 19:21:43,30
ESP_012053_0980,-81.8074,76.1621,Starburst,0.7966172381555187,-81.801,76.14,2009-02-20 15:56:08,29
ESP_012264_0980,-81.8105,76.1688,Starburst,1.1556977925366494,-81.801,76.14,2009-03-09 02:30:59,29
ESP_021969_0980,-81.8403,76.2299,Starburst,4.61530799308088,-81.801,76.14,2011-04-04 07:50:40,30
PSP_003443_0980,-81.8095,76.1701,Starburst,1.0632970286662555,-81.801,76.14,2007-04-21 17:07:06,28
PSP_004010_0980,-81.8162,76.1837,Starburst,1.834326038377734,-81.801,76.14,2007-06-04 21:28:47,28
ESP_021455_0935,-86.3962,99.1061,Manhattan_Classic,1.0175131230379215,-86.39,99.0,2011-02-23 06:34:09,30
ESP_020519_0935,-86.3977,99.1586,Manhattan_Classic,1.407496407786367,-86.39,99.0,2010-12-12 08:07:08,30
ESP_021495_0935,-86.3812,99.2117,Manhattan_Classic,1.7854985725627042,-86.39,99.0,2011-02-26 09:22:03,30
ESP_012884_0935,-86.3912,99.0617,Manhattan_Classic,0.45407541557798625,-86.39,99.0,2009-04-26 09:57:50,29
ESP_020954_0935,-86.41,99.355,Manhattan_Classic,3.3448978825520364,-86.39,99.0,2011-01-15 05:36:33,30
ESP_012251_0935,-86.3968,99.1505,Manhattan_Classic,1.3019085935600285,-86.39,99.0,2009-03-08 02:10:48,29
ESP_020598_0935,-86.394,99.075,Manhattan_Classic,0.6910063596509165,-86.39,99.0,2010-12-18 11:51:36,30
ESP_020214_0935,-86.4047,98.9958,Manhattan_Classic,1.6421005555871335,-86.39,99.0,2010-11-18 13:43:23,30
ESP_012739_0935,-86.3932,99.1192,Manhattan_Classic,0.9109650011513957,-86.39,99.0,2009-04-15 02:48:04,29
ESP_011961_0935,-86.3925,99.0882,Manhattan_Classic,0.6800371265813305,-86.39,99.0,2009-02-13 11:51:33,29
ESP_022260_0935,-86.3956,99.1226,Manhattan_Classic,1.0646365711545283,-86.39,99.0,2011-04-27 00:01:16,30
ESP_011671_0935,-86.3902,99.0714,Manhattan_Classic,0.5026163978643332,-86.39,99.0,2009-01-21 21:31:47,29
ESP_020321_0935,-86.3953,99.0885,Manhattan_Classic,0.8586119813403763,-86.39,99.0,2010-11-26 21:49:39,30
ESP_013016_0935,-86.3928,99.126,Manhattan_Classic,0.9393601691157135,-86.39,99.0,2009-05-06 16:48:27,29
ESP_020202_0935,-86.3737,99.448,Manhattan_Classic,3.644944426123466,-86.39,99.0,2010-11-17 15:16:30,30
ESP_011394_0935,-86.3917,99.0685,Manhattan_Classic,0.5177013075275594,-86.39,99.0,2008-12-31 07:30:26,29
ESP_013095_0935,-86.3918,99.0704,Manhattan_Classic,0.5342475511427369,-86.39,99.0,2009-05-12 20:32:13,29
PSP_003575_0935,-86.394,99.1232,Manhattan_Classic,0.9744008989185816,-86.39,99.0,2007-05-01 23:57:09,28
PSP_003496_0935,-86.3906,99.0717,Manhattan_Classic,0.5086355325227598,-86.39,99.0,2007-04-25 20:12:39,28
PSP_002942_0935,-86.3966,99.1499,Manhattan_Classic,1.285573037965357,-86.39,99.0,2007-03-13 16:11:52,28
PSP_003641_0935,-86.3902,99.0624,Manhattan_Classic,0.4393955392664566,-86.39,99.0,2007-05-07 03:22:51,28
PSP_002876_0935,-86.3934,99.0939,Manhattan_Classic,0.7615003848729589,-86.39,99.0,2007-03-08 12:46:15,28
PSP_002533_0935,-86.3958,99.1031,Manhattan_Classic,0.9718674315344088,-86.39,99.0,2007-02-09 19:18:34,28
PSP_002532_0935,-86.3998,99.0158,Manhattan_Classic,1.1001676958674078,-86.39,99.0,2007-02-09 17:26:39,28
PSP_002626_0935,-86.3875,94.6473,Manhattan_Classic,30.615689650292175,-86.39,99.0,2007-02-17 01:13:58,28
PSP_002850_0935,-86.3899,99.0645,Manhattan_Classic,0.4537518977462834,-86.39,99.0,2007-03-06 12:08:46,28
PSP_005579_0935,-86.3972,99.1201,Manhattan_Classic,1.165612062417654,-86.39,99.0,2007-10-05 03:41:16,28
ESP_028932_0935,-86.3979,99.135,Manhattan_Classic,1.2953571581818824,-86.39,99.0,2012-09-27 21:01:40,31
ESP_029578_0935,-86.3988,99.1189,Manhattan_Classic,1.2897805858720937,-86.39,99.0,2012-11-17 05:09:33,31
ESP_029657_0935,-86.4023,99.1611,Manhattan_Classic,1.7794709395718034,-86.39,99.0,2012-11-23 08:54:16,31
